,bodyid,flywire_type,group,instance,soma_side,status,superclass,type,user,halfbrain_body,itolee_hl,old_type,birthtime,manc_bodyid,manc_group,manc_type,soma_neuromere,truman_hl,class,entry_nerve,root_side,assigned_ol_hex1,assigned_ol_hex2,hemibrain_type,notes,dimorphism,hemibrain_bodyid,exit_nerve,manc_serial,mcns_serial,subclass,fru_dsx,synonyms,serial_motif,matching_notes,flywire_id,location_type,cell_body_fiber,auto,cell_type,side,idx
1,105715,L4,11062.0,L4_L,L,Primary Anchor,optic,L4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L4,left,21326.0
4,520505,L2,10350.0,L2_L,L,Prelim Roughly traced,optic,L2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L2,left,39527.0
5,122751,Dm3,15115.0,Dm3a_L,L,Primary Anchor,optic,Dm3a,takemuras,,,Dm3a-2,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm3a,left,25196.0
10,20450,LC14b,17399.0,LC14b_L,L,Roughly traced,optic,LC14b,,4745999180.0,VPNp1_lateral,,,,,,,,bilateral,,,,,,,,,,,,,,,,,,,,False,LC14b,left,1905.0
14,15369,LTe16,15369.0,LoVP107_L,L,Prelim Roughly traced,visual_projection,LoVP107,takemuras,,,LT102,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LoVP107,left,796.0
16,516054,L2,10350.0,L2_L,L,Prelim Roughly traced,optic,L2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L2,left,37944.0
26,69018,CB3849,39038.0,Dm16_L,L,Prelim Roughly traced,optic,Dm16,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm16,left,13104.0
44,529817,T2a,12245.0,T2a_L,L,Primary Anchor,optic,T2a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2a,left,41359.0
53,30141,Li19,14634.0,Li19_L,L,Primary Anchor,optic,Li19,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Li19,left,4214.0
55,81608,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,15901.0
65,11139,,11139.0,R1-R6_L,L,Primary Anchor,sensory,R1-R6,takemuras,,,,,,,,,,visual,,,,,,,,,,,,,,,,,,,,False,R1-R6,left,187.0
66,20079,L2,10350.0,L2_L,L,Prelim Roughly traced,optic,L2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L2,left,1823.0
69,532445,LC25,17692.0,LC25_L,L,Prelim Roughly traced,visual_projection,LC25,takemuras,,,,,,,,,,,,,,,LC25,,,,,,,,,,,,,,,False,LC25,left,42310.0
71,25248,,15963.0,Tm38_L,L,Primary Anchor,optic,Tm38,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm38,left,3035.0
79,141684,Mi13,17948.0,Mi13_L,L,Prelim Roughly traced,optic,Mi13,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi13,left,29008.0
82,81516,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,15880.0
83,136282,C2,15627.0,C2_L,L,Prelim Roughly traced,optic,C2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C2,left,28010.0
84,19438,,16342.0,Tm39_L,L,Primary Anchor,optic,Tm39,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm39,left,1668.0
88,512812,TmY3,15710.0,TmY3_L,L,Prelim Roughly traced,optic,TmY3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY3,left,36941.0
89,107828,T5c,26518.0,T5c_L,L,Primary Anchor,optic,T5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5c,left,21794.0
94,77230,T2a,12245.0,T2a_L,L,Primary Anchor,optic,T2a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2a,left,14940.0
99,92530,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,18281.0
102,121502,Mi10,19137.0,Mi10_L,L,Prelim Roughly traced,optic,Mi10,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi10,left,24940.0
105,523599,,10893.0,LPi2b_L,L,Primary Anchor,optic,LPi2b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LPi2b,left,39923.0
111,48699,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,8478.0
113,160198,T4c,16122.0,T4c_L,L,Primary Anchor,optic,T4c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4c,left,31780.0
115,516405,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,38038.0
119,79491,T5a,46342.0,T5a_L,L,Primary Anchor,optic,T5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5a,left,15436.0
129,44901,Tm5c,18223.0,Tm5c_L,L,Primary Anchor,optic,Tm5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm5c,left,7621.0
130,47703,,13703.0,Y12_L,L,Prelim Roughly traced,optic,Y12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Y12,left,8260.0
132,82988,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,16225.0
142,151842,T4a,13882.0,T4a_L,L,Primary Anchor,optic,T4a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4a,left,30672.0
152,519809,,16753.0,Tm37_L,L,Primary Anchor,optic,Tm37,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm37,left,39340.0
155,549155,TmY5a,12709.0,TmY5a_L,L,Prelim Roughly traced,optic,TmY5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY5a,left,46718.0
156,171147,T3,13918.0,T3_L,L,Primary Anchor,optic,T3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T3,left,33005.0
162,71551,Dm21,21718.0,Cm3_L,L,Primary Anchor,optic,Cm3,takemuras,,,Mi22,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm3,left,13660.0
170,50579,Tm2,10851.0,Tm2_L,L,Primary Anchor,optic,Tm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm2,left,8904.0
177,163612,L3,10694.0,L3_L,L,Prelim Roughly traced,optic,L3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L3,left,32207.0
180,134433,Tm9,16250.0,Tm9_L,L,Primary Anchor,optic,Tm9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm9,left,27677.0
181,147234,T5a,46342.0,T5a_L,L,Primary Anchor,optic,T5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5a,left,29955.0
185,29372,cLP02,13333.0,LPT111_L,L,Prelim Roughly traced,visual_centrifugal,LPT111,takemuras,,no_lineage,,,,,,,,,,,,,LT71,,,,,,,,,,,,,,,False,LPT111,left,4025.0
188,52008,,15043.0,TmY21_L,L,Primary Anchor,optic,TmY21,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY21,left,9206.0
190,16115,LC21,16115.0,LC21_L,L,Prelim Roughly traced,visual_projection,LC21,takemuras,,VPNp3,,,,,,,,,,,,,LC21,,,,,,,,,,,,,,,False,LC21,left,945.0
196,41335,Lawf1,12117.0,Lawf1_L,L,Prelim Roughly traced,optic,Lawf1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Lawf1,left,6727.0
198,69678,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,13257.0
209,169062,L4,11062.0,L4_L,L,Primary Anchor,optic,L4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L4,left,32789.0
219,53932,TmYem1,12701.0,TmY17_L,L,Primary Anchor,optic,TmY17,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY17,left,9655.0
221,69569,L5,14999.0,L5_L,L,Prelim Roughly traced,optic,L5,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L5,left,13230.0
227,99001,TmY4,13292.0,TmY4_L,L,Primary Anchor,optic,TmY4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY4,left,19772.0
228,145721,Dm15,14388.0,Dm15_L,L,Prelim Roughly traced,optic,Dm15,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm15,left,29709.0
231,156078,T4a,13882.0,T4a_L,L,Primary Anchor,optic,T4a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4a,left,31268.0
237,35922,L2,10350.0,L2_L,L,Prelim Roughly traced,optic,L2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L2,left,5506.0
242,551709,,13469.0,Tm29_L,L,Prelim Roughly traced,optic,Tm29,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm29,left,47418.0
244,98213,,12970.0,T1_L,L,Primary Anchor,optic,T1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T1,left,19606.0
247,150562,Mi2,12956.0,Mi2_L,L,Primary Anchor,optic,Mi2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi2,left,30476.0
249,78666,Tm3,13421.0,Tm3_L,L,Primary Anchor,optic,Tm3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm3,left,15256.0
254,519602,L3,10694.0,L3_L,L,Prelim Roughly traced,optic,L3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L3,left,39293.0
259,78307,Dm8,17897.0,Dm8b_L,L,Primary Anchor,optic,Dm8b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm8b,left,15183.0
268,148052,,15627.0,C2_L,L,Primary Anchor,optic,C2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C2,left,30107.0
284,171431,TmY18,17497.0,TmY18_L,L,Primary Anchor,optic,TmY18,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY18,left,33034.0
293,36628,Mi1,12473.0,Mi1_L,L,Prelim Roughly traced,optic,Mi1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi1,left,5652.0
294,518915,LC11,11747.0,LC11_L,L,Prelim Roughly traced,visual_projection,LC11,takemuras,,VPNp3,,,,,,,,,,,,,LC11,,,,,,,,,,,,,,,False,LC11,left,39074.0
295,524562,TmY18,17497.0,TmY18_L,L,Primary Anchor,optic,TmY18,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY18,left,40161.0
302,145010,Tm9,16250.0,Tm9_L,L,Prelim Roughly traced,optic,Tm9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm9,left,29598.0
306,534261,T5b,14326.0,T5b_L,L,Primary Anchor,optic,T5b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5b,left,42977.0
307,113623,Tm2,10851.0,Tm2_L,L,Primary Anchor,optic,Tm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm2,left,23131.0
309,191498,Mi15,16877.0,Mi15_L,L,Primary Anchor,optic,Mi15,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi15,left,34752.0
315,89118,Tm12,14735.0,Tm12_L,L,Primary Anchor,optic,Tm12,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm12,left,17544.0
316,178698,Dm3,15115.0,Dm3a_L,L,Primary Anchor,optic,Dm3a,takemuras,,,Dm3a-2,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm3a,left,33683.0
319,88616,Tm3,13421.0,Tm3_L,L,Primary Anchor,optic,Tm3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm3,left,17440.0
320,217044,,29457.0,Cm2_L,L,Primary Anchor,optic,Cm2,takemuras,,,Mi25b,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm2,left,36314.0
324,514191,LPLC1,12052.0,LPLC1_L,L,Prelim Roughly traced,visual_projection,LPLC1,takemuras,,VPNd1,,,,,,,,,,,,,LPLC1,,,,,,,,,,,,,,,False,LPLC1,left,37299.0
325,79657,,16342.0,Tm39_L,L,Primary Anchor,optic,Tm39,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm39,left,15474.0
326,150403,TmY9,17030.0,TmY9b_L,L,Primary Anchor,optic,TmY9b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY9b,left,30456.0
327,192482,,52696.0,Cm1_L,L,Primary Anchor,optic,Cm1,takemuras,,,Mi25a,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm1,left,34830.0
330,56200,Tm2,10851.0,Tm2_L,L,Primary Anchor,optic,Tm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm2,left,10192.0
331,106954,TmY3,15710.0,TmY3_L,L,Prelim Roughly traced,optic,TmY3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY3,left,21590.0
333,580963,,15627.0,C2_L,L,Primary Anchor,optic,C2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C2,left,48622.0
336,28112,,16753.0,Tm37_L,L,Primary Anchor,optic,Tm37,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm37,left,3716.0
341,54712,Pm4,14845.0,Pm4_L,L,Prelim Roughly traced,optic,Pm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Pm4,left,9845.0
342,548430,T5d,24740.0,T5d_L,L,Primary Anchor,optic,T5d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5d,left,46555.0
345,173263,Y4,15211.0,Y14_L,L,Primary Anchor,optic,Y14,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Y14,left,33213.0
351,104771,T4c,16122.0,T4c_L,L,Primary Anchor,optic,T4c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4c,left,21115.0
353,524623,Tm3,13421.0,Tm3_L,L,Primary Anchor,optic,Tm3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm3,left,40196.0
356,111641,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,22655.0
358,514129,Tm1,13979.0,Tm1_L,L,Prelim Roughly traced,optic,Tm1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm1,left,37268.0
361,517954,Mi4,13579.0,Mi4_L,L,Primary Anchor,optic,Mi4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi4,left,38654.0
363,111835,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,22703.0
365,169669,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,32858.0
366,62114,Tm12,14735.0,Tm12_L,L,Primary Anchor,optic,Tm12,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm12,left,11530.0
367,71432,T5c,26518.0,T5c_L,L,Primary Anchor,optic,T5c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5c,left,13636.0
369,94696,LTe68,46956.0,LoVP84_L,L,Prelim Roughly traced,visual_projection,LoVP84,,,VLPd&p1_posterior,LO_SIP3,,,,,,,,,,,,"SIP062,SIP063",,,,,,,,,,,,,,,False,LoVP84,left,18770.0
371,170312,C2,15627.0,C2_L,L,Prelim Roughly traced,optic,C2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C2,left,32926.0
376,93921,T5b,14326.0,T5b_L,L,Primary Anchor,optic,T5b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5b,left,18602.0
379,518886,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,39064.0
389,15182,CB3840,11838.0,Li17_L,L,Primary Anchor,optic,Li17,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Li17,left,772.0
390,22424,L1,10465.0,L1_L,L,Prelim Roughly traced,optic,L1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L1,left,2356.0
393,43871,T1,12970.0,T1_L,L,Primary Anchor,optic,T1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T1,left,7351.0
396,88306,Tm4,15529.0,Tm4_L,L,Primary Anchor,optic,Tm4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm4,left,17369.0
397,156239,T4d,22003.0,T4d_L,L,Primary Anchor,optic,T4d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4d,left,31286.0
406,517123,TmYem1,12701.0,TmY17_L,L,Primary Anchor,optic,TmY17,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY17,left,38346.0
412,73980,TmY5a,12709.0,TmY5a_L,L,Prelim Roughly traced,optic,TmY5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY5a,left,14216.0
415,21381,L1,10465.0,L1_L,L,Prelim Roughly traced,optic,L1,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,L1,left,2116.0
420,34935,TmY18,17497.0,TmY18_L,L,Primary Anchor,optic,TmY18,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY18,left,5291.0
422,47357,LC6,18842.0,LC6_L,L,Prelim Roughly traced,visual_projection,LC6,takemuras,,VPNd3,,,,,,,,,,,,,LC6,,,,,,,,,,,,,,,False,LC6,left,8189.0
423,57614,C3,12463.0,C3_L,L,Prelim Roughly traced,optic,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C3,left,10534.0
424,70326,C3,12463.0,C3_L,L,Prelim Roughly traced,optic,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C3,left,13395.0
425,88708,,22958.0,Dm9_L,L,Primary Anchor,optic,Dm9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm9,left,17460.0
426,90592,TmY4,13292.0,TmY4_L,L,Primary Anchor,optic,TmY4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY4,left,17883.0
430,11203,cL22a,11106.0,LoVC4_L,L,Roughly traced,visual_centrifugal,LoVC4,,,VESa2,IB013,,,,,,,,,,,,IB013,,,,,,,,,,,,,,,False,LoVC4,left,193.0
439,31439,LC36,14941.0,LC36_R,R,Roughly traced,visual_projection,LC36,,,VPNp&v1_posterior,,,,,,,,,,,,,LC36,,,,,,,,,,,,,,,False,LC36,right,4478.0
445,84156,TmY18,17497.0,TmY18_L,L,Primary Anchor,optic,TmY18,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY18,left,16465.0
446,101849,T2,10182.0,T2_L,L,Primary Anchor,optic,T2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2,left,20431.0
447,115364,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,23554.0
450,81551,,14318.0,LC31a_L,L,Prelim Roughly traced,visual_projection,LC31a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LC31a,left,15893.0
451,175935,Mi15,16877.0,Mi15_L,L,Primary Anchor,optic,Mi15,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi15,left,33449.0
452,34445,Lawf2,10642.0,Lawf2_L,L,Prelim Roughly traced,optic,Lawf2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Lawf2,left,5180.0
454,64077,,15963.0,Tm38_L,L,Primary Anchor,optic,Tm38,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm38,left,11998.0
456,125486,T5d,24740.0,T5d_L,L,Primary Anchor,optic,T5d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5d,left,25787.0
457,207905,Mi2,12956.0,Mi2_L,L,Primary Anchor,optic,Mi2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi2,left,35907.0
458,518152,,13703.0,Y12_L,L,Prelim Roughly traced,optic,Y12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Y12,left,38750.0
461,82776,Dm8,18363.0,Dm8a_L,L,Primary Anchor,optic,Dm8a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm8a,left,16178.0
467,44945,Y1,16488.0,Y13_L,L,Prelim Roughly traced,optic,Y13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Y13,left,7629.0
470,89495,T3,13918.0,T3_L,L,Primary Anchor,optic,T3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T3,left,17628.0
473,593936,,15834.0,LC26_L,L,Prelim Roughly traced,visual_projection,LC26,,,,,,,,,,,,,,,,LC26,,,,,,,,,,,,,,,False,LC26,left,48747.0
474,102348,T5b,14326.0,T5b_L,L,Primary Anchor,optic,T5b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5b,left,20550.0
478,558645,Mi2,12956.0,Mi2_L,L,Primary Anchor,optic,Mi2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi2,left,47874.0
479,30750,,22958.0,Dm9_L,L,Primary Anchor,optic,Dm9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm9,left,4338.0
485,35725,Lawf2,10642.0,Lawf2_L,L,Prelim Roughly traced,optic,Lawf2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Lawf2,left,5468.0
487,547318,T4d,22003.0,T4d_L,L,Primary Anchor,optic,T4d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4d,left,46351.0
496,84767,Mi9,11461.0,Mi9_L,L,Primary Anchor,optic,Mi9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mi9,left,16608.0
498,198492,T4d,22003.0,T4d_L,L,Primary Anchor,optic,T4d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4d,left,35299.0
499,127755,T3,13918.0,T3_L,L,Primary Anchor,optic,T3,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T3,left,26262.0
506,64964,LC10a,10573.0,LC10a_L,L,Prelim Roughly traced,visual_projection,LC10a,,,VPNd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LC10a,left,12199.0
507,166168,TmY18,17497.0,TmY18_L,L,Primary Anchor,optic,TmY18,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY18,left,32497.0
513,518016,LC4,12032.0,LC4_L,L,Prelim Roughly traced,visual_projection,LC4,takemuras,,,,,,,,,,,,,,,LC4,,,,,,,,,,,,,,,False,LC4,left,38689.0
517,111258,T5b,14326.0,T5b_L,L,Primary Anchor,optic,T5b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5b,left,22577.0
519,85844,LC12,11692.0,LC12_L,L,Prelim Roughly traced,visual_projection,LC12,takemuras,,,,,,,,,,,,,,,LC12,,,,,,,,,,,,,,,False,LC12,left,16843.0
522,100219,T5d,24740.0,T5d_L,L,Primary Anchor,optic,T5d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5d,left,20071.0
524,141497,,32794.0,LPi2e_L,L,Primary Anchor,optic,LPi2e,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,LPi2e,left,28970.0
528,95830,T5d,24740.0,T5d_L,L,Primary Anchor,optic,T5d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T5d,left,19046.0
532,549189,Tm20,17795.0,Tm20_L,L,Primary Anchor,optic,Tm20,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm20,left,46726.0
534,538961,Tm9,16250.0,Tm9_L,L,Prelim Roughly traced,optic,Tm9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm9,left,44099.0
536,86600,C3,12463.0,C3_L,L,Primary Anchor,optic,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,C3,left,17020.0
538,121685,Tm20,17795.0,Tm20_L,L,Primary Anchor,optic,Tm20,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm20,left,24976.0
540,136035,Dm2,40824.0,Dm2_L,L,Primary Anchor,optic,Dm2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm2,left,27968.0
541,536669,TmY9,17030.0,TmY9b_L,L,Primary Anchor,optic,TmY9b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY9b,left,43766.0
542,107559,T4b,21218.0,T4b_L,L,Primary Anchor,optic,T4b,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4b,left,21723.0
548,111228,T4d,22003.0,T4d_L,L,Primary Anchor,optic,T4d,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4d,left,22568.0
552,545824,Tm9,16250.0,Tm9_L,L,Prelim Roughly traced,optic,Tm9,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Tm9,left,46019.0
559,516304,Dm3,17463.0,Dm3b_L,L,Primary Anchor,optic,Dm3b,takemuras,,,Dm3a-1,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Dm3b,left,38005.0
564,534237,TmY4,13292.0,TmY4_L,L,Primary Anchor,optic,TmY4,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY4,left,42962.0
565,53619,TmY5a,12709.0,TmY5a_L,L,Prelim Roughly traced,optic,TmY5a,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TmY5a,left,9580.0
567,71565,MeTu4,33609.0,MeTu4f_L,L,Primary Anchor,visual_projection,MeTu4f,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,MeTu4f,left,13666.0
571,85096,Dm21,21718.0,Cm3_L,L,Primary Anchor,optic,Cm3,takemuras,,,Mi22,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Cm3,left,16680.0
579,126430,T2,10182.0,T2_L,L,Primary Anchor,optic,T2,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T2,left,25983.0
591,117024,T4c,16122.0,T4c_L,L,Primary Anchor,optic,T4c,takemuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,T4c,left,23919.0
